Name,HEX_RGB
Absolute Zero,#0048BA
Acid green,#B0BF1A
Amber,#FFBF00
Byzantine,#BD33A4
Aero blue,#C0E8D5
Amaranth,#E52B50
Cyan,#00FFFF
Air superiority blue,#72A0C1
Alloy orange,#C46210
Almond,#EFDECD
Amaranth (M&P),#9F2B68
Amaranth pink,#F19CBB
Amaranth red,#D3212D
Amazon,#3B7A57
Amber (SAE/ECE),#FF7E00
Amethyst,#9966CC
Android green,#A4C639
Cadmium yellow,#FFF600
Caribbean green,#00CC99
Chartreuse (web),#7FFF00
Aero,#7CB9E8
African violet,#B284BE
